map_id,source_object,source_field,source_label,canonical_field,target_table,target_field,target_label,transform_rule,value_map,required,status,owner,notes
AD-P01,Project,id,Entity ID,source_id,pm_project,correlation_id,Correlation ID,"Prefix ADAPTIVE:",,Y,Proposed,,e.g. ADAPTIVE:/Project/abc123
AD-P02,Project,SYSID,Project ID,source_key,pm_project,u_legacy_id,Legacy ID,Direct,,Y,Proposed,,e.g. P-00123
AD-P03,Project,Name,Name,name,pm_project,short_description,Name,Truncate 160,,Y,Proposed,,
AD-P04,Project,Description,Description,description,pm_project,description,Description,Strip HTML,,N,Proposed,,
AD-P05,Project,ProjectManager.Email,Project manager,owner_email,pm_project,project_manager,Project manager,Match sys_user.email,,Y,Proposed,,
AD-P06,Project,State,State,status,pm_project,state,State,Via value map,project_state,Y,Proposed,,Draft usually -> demand (classification)
AD-P07,Project,Phase,Phase,phase,pm_project,phase,Phase,Via value map (passthrough),project_phase,N,Proposed,,Tenant-specific values
AD-P08,Project,StartDate,Start date,start_date,pm_project,start_date,Planned start,Date,,Y,Proposed,,
AD-P09,Project,DueDate,Due date,end_date,pm_project,end_date,Planned end,Date,,Y,Proposed,,
AD-P10,Project,ActualStartDate,Actual start,actual_start,pm_project,work_start,Actual start,Date,,N,Proposed,,
AD-P11,Project,ActualEndDate,Actual end,actual_end,pm_project,work_end,Actual end,Date,,N,Proposed,,
AD-P12,Project,PercentCompleted,% complete,percent_complete,pm_project,percent_complete,% complete,Number,,N,Proposed,,Recalculated from tasks in SN
AD-P13,Project,ParentProject.Name,Program,program,pm_project,primary_program,Program,Match pm_program.name,,N,Proposed,,If programs are modelled as parent projects
AD-P14,Project,Priority,Priority,priority,pm_project,priority,Priority,Via value map,priority,N,Proposed,,Confirm field name in describeEntities
AD-P15,Project,C_Department,Department,custom.C_Department,pm_project,department,Department,Match cmn_department.name,,N,Proposed,,Tenant custom field
AD-P16,Project,TrackStatus,Track status,health,project_status,overall_health,Overall health,Via value map,health,N,Proposed,,One synthetic status report per project
AD-P17,Project,PlannedBudget,Planned budget,planned_cost,cost_plan,unit_cost / amount,Cost plan,One cost plan line per project,,N,Open question,,Do not write pm_project cost fields directly
AD-P18,Project,ActualCost,Actual cost,actual_cost,expense_line,amount,Actual cost,Single expense line or custom field,,N,Open question,,Financials decision needed
AD-P19,Project,Work / ActualEffort,Planned / actual effort,planned_hours / actual_hours,pm_project,u_legacy_planned_hours / u_legacy_actual_hours,Legacy effort,Convert to hours,,N,Open question,,Resource plans vs reference only
AD-D01,EnhancementRequest,id,Entity ID,source_id,dmn_demand,correlation_id,Correlation ID,"Prefix ADAPTIVE:",,Y,Proposed,,
AD-D02,EnhancementRequest,SYSID,Request ID,source_key,dmn_demand,u_legacy_id,Legacy ID,Direct,,Y,Proposed,,
AD-D03,EnhancementRequest / Draft Project,Title / Name,Title,name,dmn_demand,short_description,Name,Truncate 160,,Y,Proposed,,
AD-D04,EnhancementRequest,Description,Description,description,dmn_demand,description,Description,Strip HTML,,N,Proposed,,
AD-D05,EnhancementRequest,State,State,status,dmn_demand,state,State,Via value map,demand_state,Y,Proposed,,
AD-D06,EnhancementRequest,AssignedTo.Email,Assigned to,owner_email,dmn_demand,assigned_to,Demand manager,Match sys_user.email,,N,Proposed,,
AD-D07,EnhancementRequest,SubmittedBy.Email,Submitted by,requester_email,dmn_demand,opened_by,Submitter,Match sys_user.email,,N,Proposed,,
AD-D08,EnhancementRequest,DueDate,Due date,end_date,dmn_demand,due_date,Due date,Date,,N,Proposed,,
AD-D09,EnhancementRequest,Priority,Priority,priority,dmn_demand,priority,Priority,Via value map,priority,N,Proposed,,
AD-D10,EnhancementRequest / Project,C_BusinessCase,Business case,custom.C_BusinessCase,dmn_demand,business_case,Business case,Direct,,N,Proposed,,
AD-D11,(constant),,,,dmn_demand,type,Type,Constant project,,Y,Proposed,,
AD-D12,(constant),,,,dmn_demand,category,Category,Default strategic,demand_category,Y,Proposed,,
AD-T01,Task / Milestone,id,Entity ID,source_id,pm_project_task,correlation_id,Correlation ID,"Prefix ADAPTIVE:",,Y,Proposed,,
AD-T02,Task / Milestone,Parent,Parent,parent_source_id,pm_project_task,parent,Parent,Resolve by u_parent_correlation_id,,Y,Proposed,,Parent = project -> top-level
AD-T03,Task / Milestone,Project,Project,project_source_id,pm_project_task,top_task,Top task,Resolve by u_project_correlation_id,,Y,Proposed,,
AD-T04,Task,Name,Name,name,pm_project_task,short_description,Short description,Truncate 160,,Y,Proposed,,
AD-T05,Task,Description,Description,description,pm_project_task,description,Description,Strip HTML,,N,Proposed,,
AD-T06,Task,Manager.Email,Task manager,assignee_email,pm_project_task,assigned_to,Assigned to,Match sys_user.email,,N,Proposed,,Or first ResourceLink resource
AD-T07,Task,State,State,status,pm_project_task,state,State,Via value map,task_state,Y,Proposed,,
AD-T08,Task,StartDate,Start,start_date,pm_project_task,start_date,Planned start,Date,,Y,Proposed,,
AD-T09,Task,DueDate,Due,end_date,pm_project_task,end_date,Planned end,Date,,Y,Proposed,,
AD-T10,Task,ActualStartDate,Actual start,actual_start,pm_project_task,work_start,Actual start,Date,,N,Proposed,,
AD-T11,Task,ActualEndDate,Actual end,actual_end,pm_project_task,work_end,Actual end,Date,,N,Proposed,,
AD-T12,Task,PercentCompleted,% complete,percent_complete,pm_project_task,percent_complete,% complete,Number,,N,Proposed,,
AD-T13,Milestone,(entity type),Milestone,is_milestone,pm_project_task,milestone,Milestone,true for Milestone entity,,N,Proposed,,
AD-R01,Link,Predecessor,Predecessor,predecessor_id,planned_task_rel_planned_task,parent,Predecessor,Resolve by correlation,,Y,Proposed,,
AD-R02,Link,Successor,Successor,successor_id,planned_task_rel_planned_task,child,Successor,Resolve by correlation,,Y,Proposed,,
AD-R03,Link,DependencyType,Type,type,planned_task_rel_planned_task,type,Type,Via value map,dependency_type,Y,Proposed,,
AD-R04,Link,Lag,Lag,lag_days,planned_task_rel_planned_task,lag,Lag,Hours / 8 -> days,,N,Proposed,,Check lag unit in describeEntities
AD-X01,Issue / Risk,*,RAID,,issue / risk,,,Separate mapping if in scope,,N,Open question,,
AD-X02,Timesheet,*,Time,,time_card,,,Usually not migrated,,N,Not migrating,,Keep in data warehouse
AD-X03,Discussion / Document,*,Posts / files,,sys_attachment,,,History decision (README Step 5),,N,Open question,,
