source_system,import_set_table,load_file,source_column,target_table,target_field,field_kind,coalesce,referenced_value_field,choice_action,script,target_field_status,notes
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_correlation_id,dmn_demand,correlation_id,String,Yes,,,,out-of-box - verify with validate-fields,Coalesce key - re-loads update instead of duplicating
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_correlation_display,dmn_demand,correlation_display,String / text,,,,,out-of-box - verify with validate-fields,
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_legacy_id,dmn_demand,u_legacy_id,String / text,,,,,PROPOSED - create before load,
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_legacy_url,dmn_demand,u_legacy_url,String / text,,,,,PROPOSED - create before load,
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_short_description,dmn_demand,short_description,String / text,,,,,out-of-box - verify with validate-fields,
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_description,dmn_demand,description,String / text,,,,,out-of-box - verify with validate-fields,
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_type,dmn_demand,type,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'constant' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_demand_type,dmn_demand,u_demand_type,Choice,,,reject,,exists (custom),Values from value map 'demand_type' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_category,dmn_demand,category,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'demand_category' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_state,dmn_demand,state,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'demand_state' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_assigned_to,dmn_demand,assigned_to,Reference sys_user,,email,ignore,,out-of-box - verify with validate-fields,Never 'create' - it would create users
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_opened_by,dmn_demand,opened_by,Reference sys_user,,email,ignore,,out-of-box - verify with validate-fields,Never 'create' - it would create users
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_business_owner,dmn_demand,u_business_owner,Reference sys_user,,email,ignore,,exists (custom),Never 'create' - it would create users
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_executive_sponsor,dmn_demand,u_executive_sponsor,Reference sys_user,,email,ignore,,exists (custom),Never 'create' - it would create users
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_portfolio,dmn_demand,portfolio,Reference pm_portfolio,,name,reject (mock loads) / ignore (final),,out-of-box - verify with validate-fields,Records must exist before the load
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_primary_program,dmn_demand,primary_program,Reference pm_program,,name,reject (mock loads) / ignore (final),,out-of-box - verify with validate-fields,Records must exist before the load
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_funding_type,dmn_demand,u_funding_type,Choice,,,reject,,exists (custom),Values from value map 'funding_type' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_expense_type,dmn_demand,expense_type,Choice,,,reject,,out-of-box - verify with validate-fields,Values from value map 'expense_type' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_business_category,dmn_demand,u_business_category,Choice,,,reject,,exists (custom),Values from value map 'business_category_demand' - must be stored values
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_business_unit,dmn_demand,business_unit,Reference business_unit,,name,reject (mock loads) / ignore (final),,out-of-box - verify with validate-fields,Records must exist before the load
asana,u_imp_asana_demand,asana/01_dmn_demand.csv,u_impacted_business_units,dmn_demand,impacted_business_units,List,,,,split names -> sys_ids of the referenced table,out-of-box - verify with validate-fields,"Field map script (docs/05 section 4, list fields). Confirm what u_sites references (D18)"
