form,tab,field_label,custom,field_name,name_source,fed_by_asana,fed_by_adaptive,migration_note
Project,Header,Project Name,No,short_description,Given (form workbook),Name,Name,
Project,Header,Project Manager,No,project_manager,OOB - verify,PM Assigned,Manager,
Project,Header,Status,No,status (overall health),OOB - verify,,Health,Confirm what 'Status' is on your form; health is best loaded via project_status
Project,Header,State,No,state,OOB - verify,Project Status,State,Integers in sys_choice
Project,Header,Percent Complete,,percent_complete,OOB - verify,(rolled up from tasks),% Complete,Rolls up once tasks exist
Project,Header,Number,No,number,OOB - verify,,,Auto-numbered; source ID goes to u_legacy_id
Project,Header,Assigned To,No,assigned_to,OOB - verify,,,
Project,Header,Assignment Group,No,assignment_group,OOB - verify,,,Not fed by either source
Project,Header,Additional assignee list,No,additional_assignee_list,OOB - verify,,,
Project,Header,Detailed Description,No,description,OOB - verify,Notes,Project Description,
Project,Dates,Schedule,,schedule,OOB - verify,,,Calendar reference - set a default
Project,Dates,Approved start date,,approved_start_date,OOB - verify,,,No source; leave blank
Project,Dates,Planned start date,,start_date,OOB - verify,Start Date,(StartDate - add to extract),Required
Project,Dates,Actual start date,,work_start,OOB - verify,,Actual start / Project Assigned,
Project,Dates,Duration,,duration,Calculated - do not load,,,Derived from dates
Project,Dates,Planned effort,,effort,OOB - verify,,Work (hours),Only if resource planning is in scope
Project,Dates,Approved end date,,approved_end_date,OOB - verify,,,No source; leave blank
Project,Dates,Planned end date,,end_date,OOB - verify,Due Date,Planned Finish,
Project,Dates,Actual end date,,work_end,OOB - verify,completed_at,Actual end,
Project,Dates,Actual duration,,work_duration,Calculated - do not load,,,
Project,Dates,Actual effort,,work_effort,Calculated - do not load,,,Rolls up from time cards
Project,Details,Portfolio,No,primary_portfolio,OOB - verify,(constant: HR portfolio),,
Project,Details,Program,No,primary_program,OOB - verify,Section/Column,,Create the programs before loading
Project,Details,Business Owner,Yes,u_business_owner,Given (form workbook),HRSP / SME / Project Lead,Business Sponsor,Reference sys_user
Project,Details,Executive Sponsor,Yes,u_executive_sponsor,Given (form workbook),,,No reliable source in either system
Project,Details,Investment Class,No,investment_class,OOB - verify,Project Type,(default Change),Run vs Change
Project,Details,Investment Type,No,investment_type,OOB - verify,,,
