id,source,issue,evidence,impact,recommended_fix,fix_where,status
DQ1,Asana,People are names not emails; nicknames differ between fields,"PM Assigned: 13 names incl. N/A (9), TBD (3), blank (4). Assignee 'Jennifer ...' vs PM 'Jen ...'; task-level 'Richard' vs tracker 'Rick'",Owners load as the placeholder user,Build data/reference/user_crosswalk.csv from users_referenced.csv (one row per alias). N/A/TBD already treated as blank,Crosswalk file,Open
DQ3,Asana,Items with no dates,2 of 80 tracker items have no start or due date; all 17 subtasks under Ireland programs have no dates,ServiceNow requires a start date - falls back to created date,Owners add dates or accept the fallback,Asana (pre-cutover),Open
DQ4,Asana,Open items already past due,27 of the 65 open (not completed or cancelled) tracker items have a due date before 2026-09-22 (oldest 2025-07-31),Schedule health shows red on day 1; the Gantt view looks wrong,Owners re-baseline or close before the final extract,Asana (pre-cutover),Open
DQ5,Asana,Ambiguous Project Type,'Project/Annual Program' on 4 rows; 4 rows blank,Run vs Change investment class guessed,Owners pick one; default Change,Asana or overrides,Open
DQ6,Asana,Garbled characters and Asana links in Notes,7 Notes contain '· ' / '–' (UTF-8 read as Mac Roman); 1 note links to app.asana.com,Unreadable text; dead links after decommission,Auto-repaired by the pipeline (repair_text). Replace Asana links or accept them as legacy pointers,Pipeline (done),Fixed in code
DQ7,Asana,Recurring programs copied forward with stale names,Survey rows named '2025' carry 2026 dates,Confusing names in ServiceNow,Rename in Asana before extract,Asana (pre-cutover),Open
DQ8,Asana,Sparse attributes,"Blank of 80 top-level rows: Strategy Focus 36, Strategy Timeline 34, Entity/Organization 33, HR COEs Engaged 35, HR Cross-Impacts 61, HRSP 70, Funding 78, Cost Center 80, Tags 80",Low value in ServiceNow,Supports decision D6 (append rather than build fields); drop Cost Center and Tags,Decision,Open
DQ9,Adaptive,Mapping sheet omits fields ServiceNow needs,"No Start Date, Actual Start/End, % Complete, SYSID in the sheet",Projects load with fallback dates,Add them to the extract (already in settings.example.yaml field_map),Settings (done),Fixed in config
DQ10,Adaptive,Pick lists disagree between sheets,State: Projects-sheet dropdown lacks Requested/Draft; Health: 'On Target' (Projects sheet) vs 'On Plan' (Picklists sheet); Estimate Type 'Packaging' only on Picklists sheet; 'Revenue Cycle (includes Ensemble requests' missing ')',Unmapped values at load,Value maps accept both variants; confirm the live lists via describe-adaptive,Value maps (done) + confirm,Partly fixed
DQ11,Adaptive,Values not supplied,Region and Customers values are not in the sheet,Sites and business units cannot be fully mapped yet,Export the Region and Customers pick lists,Adaptive export,Open
DQ12,ServiceNow,Typos in labels and choices,'GHC - all not FSFH work' (should be non RSFH?); demand Business Category label reads 'Sites'; 'Acrete Acceleration' (Accrete?); 'Demand Mananger'; 'puchases',User-facing errors,Fix in dev before build freeze,ServiceNow config,Open
DQ13,ServiceNow,Inconsistent stored choice values,"Project list 'urgent care' has a space (others snake_case); demand list mixes 'business intelligence', 'Clinical Monitoring and Dietary', 'lab'; two values share order 200",Reporting filters and integrations break; changing values after migration needs a data fix,Normalise stored values to snake_case now,ServiceNow config,Open
DQ14,ServiceNow,Sites list missing markets,Adaptive funding pools include Paducah (PAD) and St Petersburg (STP); neither is on the 25-value Sites list,Region values drop,Add them or confirm Paducah -> Kentucky (value map assumes this) and St Petersburg is retired,ServiceNow config,Open
DQ15,ServiceNow,Field types disagree between request and form,Request variable 'Executive Sponsor' is Choice; form field u_executive_sponsor is a reference. 'Other Funding Type' text exists on the request but not on the demand/project,Data lost on request -> demand -> project,Align types; add u_other_funding_type if 'other' is used,ServiceNow config,Open
DQ16,ServiceNow,Notes/Preferences tabs repeat request variables,Project and Demand workbooks list the same 33 catalog variables on Notes and Preferences,Migrated records have no request item - variables cannot be populated,"Treat as copy/paste; for any variable leadership reports on (Market President approval, Priority Justification) create a real field",ServiceNow config,Open
DQ17,Asana,Task-level template quirks,'Untitled section'; a subtask under a milestone; % Complete stored as 0.5; COE and Entity repeated per task,Odd WBS in ServiceNow,Pipeline: Untitled section -> directly under project; milestones by name; fraction -> percent. COE/Entity per task not migrated,Pipeline (done),Fixed in code
DQ18,ServiceNow,Intake category list not supplied,Demand Business Category help says 'same field as Category of project from intake' - the intake 'project category' tab was not provided,Cannot confirm the demand list matches intake,Send the catalog item's Category of Project choices,ServiceNow export,Open
DQ19,ServiceNow,Updated form workbooks show no new custom fields,"ServiceNow_Project_Form_Fields.xlsx and Project_Form_Fields_1.xlsx (23 Sep) have the same cells as the 16 Sep version; custom fields are still u_business_owner, u_executive_sponsor, u_cn, u_funding_type, u_funding_source, u_business_category, u_sites (+ u_demand_type on demand)","The 11 proposed fields (u_legacy_id, lifecycle dates, u_cost_center, u_risk_health ...) are not confirmed as created","Send the updated workbook or a sys_dictionary export filtered to name STARTSWITH u_ on task, pm_project, dmn_demand, project_status",ServiceNow export,Open
DQ20,Asana,Task-level COE and Entity vary within one plan,"Template plan: tasks carry Benefits, Compensation and Learning COEs; mapping sends COE to the parent's single portfolio",Portfolio depends on which tasks were tagged,Project-level section wins; task COE only fills blanks; disagreements listed in rollup_conflicts.csv,Pipeline (done),Fixed in code
