map_id,source_object,source_field,source_type,sample_values,target_table,target_field,target_label,transform_rule,value_map,recommendation,status,decision_ref,notes
AS-P01,Tracker item (task),Name,Text,,pm_project / dmn_demand,short_description,Name,Repair encoding; truncate 160,,Map,Proposed,,
AS-P02,Tracker item (task),Section/Column,Section,Benefits & Well-Being; M&A; Compensation; Ireland Projects 2026 - 2027 (18 values),pm_project / dmn_demand,primary_portfolio,Portfolio,Section (COE area) -> pm_portfolio.name; task-level COE fills it when the item has no section,portfolio_name,Map (per your task mapping: COE -> parent.portfolio),Confirmed,D2,Creates 18 portfolios on current data (several with 1 project) - consider consolidating. Appended to description too
AS-P03,Tracker item (task),Assignee,People,Blank on 79 of 80 rows,,,,,,Do not migrate,Proposed,,PM Assigned is the authoritative owner
AS-P04,Tracker item (task),Start Date,Date,2 rows blank,pm_project / dmn_demand,start_date,Planned start date,Date; fallback created,,Map,Proposed,DQ3,
AS-P05,Tracker item (task),Due Date,Date,27 open rows already past due,pm_project / dmn_demand,end_date / due_date,Planned end date,Date,,Map,Proposed,DQ4,Owners should re-baseline past-due In Progress rows before cutover
AS-P06,Tracker item (task),Tags,Tags,Blank on all rows,pm_project / dmn_demand,description (append),,Append 'Tags:' line,,Append to description,Proposed,,
AS-P07,Tracker item (task),Notes,Long text,Status-style notes; 7 rows with garbled characters; Asana links,pm_project / dmn_demand,description,Description,Strip HTML; repair encoding,,Map,Proposed,DQ6,Notes read like status updates - optionally copy to project_status.comments too
AS-P08,Tracker item (task),Parent task,Hierarchy,17 subtasks under 5 parents,pm_project_task,parent / top_task,Parent,Subtasks become WBS tasks of the tracker item,,Map,Proposed,D3,3 subtasks (vendor workstreams) carry their own PM/type - tasks by default
AS-P09,Tracker item (task),Blocked By / Blocking (Dependencies),Dependencies,Blank on all rows,planned_task_rel_planned_task,parent / child,Predecessor / Successor,Resolve by correlation,,Map,Proposed,,
AS-P10,Tracker item (task),Project Type,Single select,Project (49); Annual Program (23); Project/Annual Program (4),pm_project,investment_class,Investment class,Project -> Change; Annual Program -> Run,investment_class,Map,Proposed,DQ5,Also appended to demand description
AS-P11,Tracker item (task),PM Assigned,Text (names),13 names incl. N/A (9) and TBD (3); nicknames differ from Assignee,pm_project / dmn_demand,project_manager / assigned_to,Project manager / Demand manager,Name -> sys_user via user_crosswalk.csv; N/A/TBD -> blank,,Map,Proposed,DQ1,Build the crosswalk from users_referenced.csv
AS-P12,Tracker item (task),Size/Complexity,Single select,Low; Medium; High,dmn_demand / pm_project,size / description (append),T-Shirt Size,Low->S; Medium->M; High->L,tshirt_size,Map (demand) / Append (project),Proposed,,Project form has only calculated scores
AS-P13,Tracker item (task),Project Status,Single select,In Progress (44); Completed (13); Not Started (10); Started/Scoping (4); On Hold; Delayed; Cancelled; blank (4),pm_project / dmn_demand,state,State,Via value map; also drives classification,project_state / demand_state,Map,Proposed,D7,Delayed -> Work in Progress (+ schedule health red if agreed)
AS-P14,Tracker item (task),I&T Integrations Needed,Single select,No Integrations; Yes - New; Yes - Modify Existing; TBD,pm_project / dmn_demand,description (append),,Append line,,Append to description,Open question,D6,Consider a field if IT wants to report on HR work needing integrations
AS-P15,Tracker item (task),HRSP / SME / Project Lead,Text (names),Populated on 10 of 80 rows,pm_project / dmn_demand,u_business_owner,Business Owner,Name -> sys_user (optional),,Map,Open question,D10,Confirm HRSP = Business Owner
AS-P16,Tracker item (task),Strategy Focus,Single select,Be Well Programs; WFI; Workday; M&A... (16 values; 36 blank),pm_project / dmn_demand,description (append),,Append line,,Append to description,Open question,D6,Could map to Primary Goal if HR goals are loaded into ServiceNow
AS-P17,Tracker item (task),Strategy Timeline,Single select,Long-Term; Annual Changes; Short-Term; One-Time/Non-Interdependent,pm_project / dmn_demand,description (append),,Append line,,Append to description,Proposed,D6,
AS-P18,Tracker item (task),Funding,Single select,CapEx; OpEx (only 2 rows populated),pm_project / dmn_demand,expense_type (+ u_funding_type),Expense type,CapEx->capex; OpEx->opex,expense_type / funding_type,Map,Proposed,D4,
AS-P19,Tracker item (task),Cost Center,Text,Blank on all rows,pm_project / dmn_demand,u_cost_center,Cost center,Direct,,Map (if populated),Proposed,D11,
AS-P20,Tracker item (task),Entity/Organization,Multi-select,BSMH (39); RSFH (35); GBS; External Partners; 33 blank,pm_project / dmn_demand,"u_business_category (+ business_unit, impacted_business_units)",Business Category / Business Unit,First mappable value -> u_business_category (RSFH -> rsfh); first value -> business_unit; all -> impacted list,business_category_project / business_unit,Map (per your task mapping) - see D17,Open question,D17,On current data 44 of 73 projects get no category (BSMH/GBS/External Partners have no choice value)
AS-P21,Tracker item (task),HR Cross-Impacts,Text,Free text; 61 blank,pm_project / dmn_demand,description (append),,Append line,,Append to description,Proposed,D6,
AS-P22,Tracker item (task),HR COEs Engaged,Multi-select,Talent & Culture; HRTS; Analytics & Insights... (16 values),pm_project / dmn_demand,description (append),,Append line,,Append to description,Open question,D6,Stakeholder register is the ServiceNow-native alternative
AS-P23,(derived),n/a,Constant,,dmn_demand,u_demand_type,Demand Type,All Asana items -> HR,demand_type,Map,Proposed,,
AS-P24,(derived),n/a,Constant,,dmn_demand,u_business_category,Business Category,All Asana demands -> Human Resources,business_category_demand,Map,Proposed,D1,Project Business Category list has no HR value
AS-P25,(derived),n/a,Constant,,pm_project / dmn_demand,primary_portfolio / portfolio,Portfolio,All Asana items -> one HR portfolio,portfolio_name,Map,Open question,D2,
AS-T01,Plan task,Task Name,Text,Initiation Milestone 1; Kickoff Meeting,pm_project_task,short_description,Short description,Repair encoding; truncate 160,,Map,Confirmed,,
AS-T02,Plan task,Section,Section,Project Initiation; Analysis/Design; Build; Test; Communicate; Train; Go-Live; Post Go-Live; Untitled section,pm_project_task,parent (phase row),Phase task,Section -> phase-level task (sections_as_phases); Untitled -> directly under project,,Map as phase tasks (your mapping left Section blank),Open question,,Keeps the Initiation/Build/Test... structure. Alternative: drop sections and load tasks flat
AS-T03,Plan task,COE,Single select,Benefits; Compensation; Learning,pm_project,primary_portfolio (parent),Portfolio,Roll up: most common task COE fills the project's portfolio if it has none,portfolio_name,Map (your mapping: COE -> parent.portfolio),Confirmed,D2,Tasks in one plan carry different COEs (Benefits/Compensation/Learning) - disagreements go to rollup_conflicts.csv
AS-T04,Plan task,Assigned To,People,,pm_project_task,assigned_to,Assigned to,Match sys_user email/name,,Map,Confirmed,DQ1,
AS-T05,Plan task,Start Date,Date,Mostly blank,pm_project_task,start_date,Planned start,Date; fallback due date,,Map,Confirmed,,
AS-T06,Plan task,Due Date,Date,,pm_project_task,end_date,Planned end,Date; fallback start date,,Map,Confirmed,,
